             6.262            7.94502            5.60191           0.398085            6.01118         0.00754756                  3            3.00936          0.0261916 
             6.363            8.04483            5.67749           0.322507            6.01122         0.00760003                  3            3.00941          0.0147503 
             6.464            8.13457            5.74444           0.255558            6.01126         0.00764841                  3            3.00945         0.00691842 
             6.565            8.21423            5.80313           0.196868             6.0113         0.00769343                  3             3.0095         0.00171045 
             6.666            8.28382            5.85388           0.146125            6.01134          0.0077357                  3            3.00954         0.00162314 
             6.767            8.34339            5.89693           0.103068            6.01138         0.00777575                  3            3.00958         0.00365027 
             6.868            8.39296            5.93252          0.0674821            6.01141         0.00781402                  3            3.00961         0.00479846 
             6.969             8.4326            5.96081           0.039193            6.01145          0.0078509                  3            3.00965         0.00538559 
              7.07            8.46232            5.98193          0.0180656            6.01148         0.00788674                  3            3.00969         0.00564267 
             7.171            8.48217              5.996         0.00400032            6.01152         0.00792186                  3            3.00972          0.0057302 
             7.272            8.49216            6.00307         -0.0030684            6.01155         0.00795654                  3            3.00975         0.00574945 
             7.373            8.49231            6.00317        -0.00317329            6.01159         0.00799108                  3            3.00979         0.00574948 
             7.474            8.48262            5.99631          0.0036851            6.01162         0.00802576                  3            3.00982         0.00573055 
             7.575            8.46307            5.98246          0.0175384            6.01166         0.00806085                  3            3.00986         0.00564416 
             7.676            8.43364            5.96155          0.0384509            6.01169         0.00809666                  3            3.00989         0.00538969 
             7.777             8.3943            5.93348           0.066521            6.01173         0.00813349                  3            3.00993         0.00480738 
             7.878            8.34503            5.89812           0.101883            6.01176          0.0081717                  3            3.00997         0.00366715 
             7.979            8.28576            5.85529           0.144708             6.0118         0.00821167                  3            3.01001         0.00165228 
              8.08            8.21647            5.80479           0.195212            6.01184         0.00825385                  3            3.01005         0.00166322 
             8.181            8.13712            5.74635           0.253653            6.01188         0.00829876                  3            3.01009         0.00684536 
             8.282            8.04768            5.67966           0.320341            6.01192         0.00834699                  3            3.01013          0.0146412 
             8.383            7.94817            5.60436           0.395644            6.01196         0.00839929                  3            3.01018          0.0260331 
             8.484            7.83865            5.52001            0.47999            6.01201         0.00845652                  3            3.01023          0.0423086 
             8.585            7.71924            5.42612           0.573883            6.01206         0.00851977                  3            3.01029          0.0651492 
             8.686            7.59018             5.3221             0.6779            6.01211         0.00859033                  3            3.01035          0.0967385 
             8.787            7.45188            5.20729           0.792709            6.01217         0.00866981                  3            3.01042           0.139883 
             8.888            7.30498            5.08093           0.919067            6.01223         0.00876019                  3            3.01049           0.198128 
             8.989            7.15048            4.94218            1.05782            6.01229         0.00886384                  3            3.01058           0.275824 
              9.09            6.98988             4.7901             1.2099            6.01237         0.00898362                  3            3.01067           0.378025 
             9.191            6.82538            4.62372            1.37628            6.01245         0.00912278                  3            3.01078           0.510048 
             9.292            6.66016            4.44211            1.55789            6.01253         0.00928484                  3            3.01091           0.676322 
             9.393             6.4987             4.2445             1.7555            6.01264         0.00947304                  3            3.01105           0.878087 
