   0.68396997    1.61865354 
   1.35737248    1.73158404 
   2.02053868    1.83890759 
   2.67378424    1.94073486 
   3.31741025    2.03717141 
   3.95170415    2.12831803 
   4.57694044    2.21427099 
   5.19338153    2.29512233 
   5.80127833    2.37096010 
   6.40087095    2.44186858 
   6.99238931    2.50792851 
   7.57605363    2.56921725 
   8.15207503    2.62580903 
   8.72065594    2.67777505 
   9.28199061    2.72518370 
   9.83626549    2.76810069 
  10.38365966    2.80658917 
  10.92434519    2.84070991 
  11.45848746    2.87052138 
  11.98624553    2.89607991 
  12.50777242    2.91743975 
  13.02321540    2.93465322 
  13.53271628    2.94777079 
  14.03641162    2.95684117 
  14.53443304    2.96191140 
  15.02690738    2.96302693 
  15.51395693    2.96023172 
  15.99569968    2.95356827 
  16.47224944    2.94307773 
  16.94371605    2.92879995 
  17.41020559    2.91077354 
  17.87182047    2.88903593 
  18.32865963    2.86362345 
  18.78081867    2.83457135 
  19.22838998    2.80191387 
  19.67146291    2.76568428 
  20.11012384    2.72591493 
  20.54445633    2.68263730 
  20.97454121    2.63588205 
  21.40045673    2.58567902 
  21.82227861    2.53205732 
  22.24008016    2.47504533 
  22.65393239    2.41467075 
  23.06390406    2.35096063 
  23.47006178    2.28394140 
  23.87247012    2.21363893 
  24.27119162    2.14007848 
  24.66628695    2.06328484 
  25.05781490    1.98328225 
  25.44583249    1.90009449 
  25.83039502    1.81374490 
  26.21155615    1.72425638 
  26.58936791    1.63165142 
  26.96388084    1.53595213 
  27.33514396    1.43718025 
  27.70320487    1.33535718 
  28.06810978    1.23050400 
  28.42990358    1.12264147 
  28.78862985    1.01179008 
  29.14433094    0.89797002 
  29.49704800    0.78120125 
  29.84682102    0.66150346 
  30.19368886    0.53889614 
  30.53768930    0.41339855 
  30.87885908    0.28502975 
  31.21723393    0.15380863 
  31.55284859    0.01975387 
